n-gram,size
karena,1
taniwha,1
tupuna,1
hori,1
motu,1
hokianga,1
koha,1
nepia,1
pokie,1
te araroa,2
te kanawa,2
mee,1
tuariki,1
inia,1
hemi,1
nga puhi,2
waipareira,1
eee,1
iraena,1
kaitaki,1
maramarua,1
mite,1
moira,1
omarama,1
pahiatua,1
papakowhai,1
poutini,1
puketapu,1
ratu,1
toro,1
tuatara,1
tuineau,1
tumarae,1
wairio,1
whitireia,1
matariki maori,2
waka ama,2
whirimako,1
kaupapa maori,2
eruera,1
reti,1
waitaha,1
paora,1
wahine,1
manuka,1
reihana,1
nuku,1
waipawa,1
kokako,1
pukeko,1
ai,1
aratika,1
aru,1
eroni,1
hara,1
heroine,1
hoani,1
karamaena,1
kuka,1
mahia,1
maire,1
ngai tamanuhiri,2
paine,1
pekepo,1
pirie,1
rena,1
te amo,2
te aroha,2
te raekaihau,2
tonu,1
waimatuku,1
wainui,1
whangaparaoa,1
atamira,1
tauranga moana,2
kahungunu,1
purapurawhetu,1
awhina,1
pepeha,1
te ahu,2
te karere,2
ahuriri,1
kimi,1
te puna,2
kaha,1
ohakune,1
urewera,1
tamatea,1
whare,1
hotere,1
hunua,1
aramoho,1
tame iti,2
amaru,1
arahanga,1
ema,1
epuni,1
hema,1
hororata,1
huhu,1
irina,1
ito,1
manawatu wanganui,2
maniapoto,1
mataitai,1
mei,1
mora,1
mururoa,1
neha,1
ngati tama,2
ngati toa,2
nikita,1
nino,1
noema,1
paranoia,1
parekura horomia,2
poata,1
poke,1
puketutu,1
rapana,1
renata,1
takahe,1
tautari,1
te apiti,2
te rure,2
temuka,1
tinge,1
waianiwaniwa,1
waimumu,1
wapiti,1
kapai,1
korero maori,2
nga tamatoa,2
kia ora te reo maori,5
te kupu o te wiki,5
maihi,1
taiaha,1
rangatahi,1
te aho,2
katikati,1
anahera,1
koru,1
taiaroa,1
hinewehi mohi,2
ruamahanga,1
wharenui,1
hekia parata,2
rewi,1
maraenui,1
hohepa,1
pupuke,1
tukituki,1
ao,1
herewini,1
huka,1
kaingaroa,1
matua,1
te horo,2
anae,1
aperi,1
aramoho wanganui,2
arapai,1
aro,1
eerie,1
hohaia,1
hoi,1
honiara,1
kaiwharawhara,1
kapiti waiorua,2
kone,1
mairangi,1
makarora,1
marika,1
maruia,1
mohi,1
nae,1
ngati whatua,2
parore,1
peak-time,1
piri weepu,2
pokere,1
pomahaka,1
rangi ruru,2
rangipo,1
rotoma,1
ruahine,1
ruane,1
ruaporo,1
taharaki,1
tahuna,1
takahue,1
tiatia,1
tinakori,1
torea,1
wairaurahiri,1
waitahuna,1
waitai,1
whakaari,1
whirinaki,1
tauranga moana maori,3
ngati kahungunu iwi,3
mauriora kingi,2
te matawai,2
uenuku,1
mihi,1
whina,1
mana wahine,2
karanga,1
te rito,2
paepae,1
mauao,1
okareka,1
whetu,1
apiata,1
maia,1
maoritanga,1
rona,1
te mangai paho,3
tuwharetoa,1
tamaki makaurau,2
hakaraia,1
mata,1
napier-taupo,1
reweti,1
waitomo,1
whoa,1
amuri,1
emirate,1
eti,1
haana,1
hira,1
hue,1
kapiti mana,2
kepa,1
kiro,1
kotuku,1
kowai,1
kumeu,1
mahara okeroa,2
mahuika,1
mahurangi,1
mea,1
motukarara,1
neemia,1
neurone,1
ngatiwai,1
nima,1
ohia,1
oio,1
okeroa,1
one-to-one,1
oriana,1
oriwa,1
otapiri,1
paringa,1
patearoa,1
peka peka,2
poki,1
popata,1
pukekura,1
putaruru,1
rewi pene,2
ripia,1
taiapa,1
takanini,1
taramea,1
taupata,1
tawera,1
te kaha,2
te kauwhata,2
te runanga o ngai tahu,5
te tii,2
te tii marae,3
te tipua,2
te whaiti,2
teme,1
tuhakaraina,1
wharekaho,1
whatarangi,1
whataroa,1
koroneho,1
otangarei,1
rangi matamua,2
tono toi,2
puha,1
kaipo,1
arohatia te reo,3
pikia,1
rika,1
tetaurawhiri,1
waata,1
mana whenua,2
mihaka,1
whanaungatanga,1
manuhiri,1
piripi,1
te kani,2
winiata,1
kuranui,1
orakei marae,2
tahau,1
te matatini,2
mita,1
tikanga maori,2
kereama,1
hinemoa,1
kaitiaki,1
taane,1
ohinemutu,1
raimona,1
tangaroa,1
anaru,1
rawiri,1
ruatoki,1
te maori,2
ange,1
ngaruawahia,1
ropiha,1
harare,1
no-no,1
taonga maori,2
te huia,2
te rauparaha,2
waitotara,1
aia,1
akena,1
awatere-huata,1
awhitu,1
harihari,1
heremaia,1
hitaua,1
hoki,1
hone heke,2
iona,1
kahawai,1
kahotea,1
kaui,1
kiwiana,1
kohe,1
kohi,1
kokomo,1
kumeroa,1
mareko,1
maru,1
matua whangai,2
mawhera,1
menumate,1
meri,1
mikaere,1
miki,1
mohaka,1
mokopeka,1
moonee,1
mourie,1
moutoa,1
ngan-kee,1
ngati poneke,2
ngauruhoe,1
ngawihi,1
o-tautahi,1
okahu,1
ono,1
opie,1
pereira,1
perera,1
pipitea marae,2
pokeno,1
pomare,1
poore,1
rakete,1
romi ropati,2
romina,1
rongowhakaata,1
taiko,1
taitapanui,1
takarei,1
tamara,1
tangimoana,1
taramoa,1
tarawera,1
te ata,2
te atiawa,2
te hau ki turanga,4
te tai rawhiti,3
te tau ihu,3
terawhiti,1
titiroa,1
toko,1
totori,1
tutaia,1
urea,1
waikari,1
waikeria,1
waikuku,1
waipapa,1
waitere,1
waiwera,1
whaanga,1
whio,1
woe,1
ki o rahi,3
paraoa,1
puanga matariki,2
puanga-matariki,1
pukaha,1
rahui,1
tuhonohono,1
wirihana,1
putiki,1
tukutuku,1
te haumihiata,2
tomoana,1
karetu,1
ngahiwi apanui,2
owhata,1
ruha,1
tarau porowha,2
te ahikaa,2
te ataarangi,2
te manga maori,3
te ngakau o te awa,5
te ohu whakaita,3
te taura whiri,3
tutaeporoporo,1
tuakana,1
watene,1
harakeke,1
mokoia,1
peeti,1
pita paraone,2
ropitini,1
tikipunga,1
hereaka,1
tawhara,1
taiao,1
tutanekai,1
awanui,1
tahana,1
murupara,1
pai,1
rakau,1
reo maori,2
taua,1
tere,1
mau,1
pakiri,1
tokerau,1
pakeke,1
parekura,1
karangahape,1
karekare,1
mahoe,1
tahiti nui,2
tahu,1
te ara,2
te pou,2
waipu,1
ataahua,1
hikurangi,1
hoe,1
matauri,1
raroa,1
raurimu,1
tami,1
ake,1
aki,1
anatoki,1
arawata,1
arawhata,1
arie,1
arohanui,1
ea,1
haru,1
hera,1
hiini,1
himiona,1
himona,1
homeware,1
hui taumata,2
i hope i,3
ianeta,1
inga,1
kapea,1
karitane,1
kawau,1
keohane,1
kohimarama,1
korokoro,1
kuki,1
mahara,1
manaena,1
matangi,1
matawhero,1
maungaraki,1
meara,1
miriori,1
moeau,1
monowai,1
moraine,1
moriori,1
namana,1
narita,1
ngatata,1
nokomai,1
noumea,1
nui,1
oia,1
okinawa,1
omihi,1
opi,1
oringi,1
otamita,1
