n-gram,size
metua aripu,2
mina,1
minoru morimoto,2
mire,1
miro,1
mita ririnui,2
moehau,1
moeraki,1
moreno,1
mori,1
motuihe,1
motukawaiti,1
motunau,1
moturoa,1
mungaroo,1
murihiku marae,2
nahu,1
nanako,1
naoki,1
natone,1
nearea,1
neate,1
nga hau e wha,4
nga taonga,2
nga tapuwae,2
nga uruora,2
ngai tahu kaiwhakahaere,3
ngaiwi,1
ngakuta,1
nganu,1
ngapuhi runanga,2
ngatea,1
ngati koata ngati tama ngati toa rangitane te atiawa ngati apa,11
ngati kuia ngati apa,4
ngati rarua maori,3
ngati rarua one,3
ngatokorua urarii,2
ngawaka,1
ngawi,1
ngunguru,1
niko tangaroa,2
nita,1
noa,1
non-white,1
noomi,1
noone,1
nori,1
numerate,1
ohingaiti,1
oho mauri oho ake,4
ohoko,1
ohuka,1
ohura,1
okano,1
okataina,1
okura,1
oma,1
one to make,3
one-minute,1
onepunga,1
onewa,1
ongoongo,1
onoke,1
opanuku,1
opiate,1
opihi,1
oraki,1
orawia,1
oroua,1
otahuti,1
otakou,1
otama,1
otautau otautau,2
oteha,1
owhango,1
pakawau,1
paniora,1
paora winitana,2
paora winitana mene,3
parangatai,1
parapine,1
pareanga,1
patia,1
patu,1
patumahoe,1
pawarenga,1
pekapeka,1
pekia,1
peorua,1
pera,1
petunia,1
pietari,1
pihama,1
piki,1
pio terei,2
pirini,1
poa,1
pongakawa,1
ponoko,1
poo-poo,1
pookie,1
popera,1
porangahau,1
porirua to karori,3
porirua wainuiomata pukerua,3
porirua-kapiti,1
poto,1
pourakino,1
pourerere,1
poutoa,1
puerua,1
puhinui,1
pukehina,1
puketiro,1
pukeuri,1
puni,1
purau,1
purina,1
puriri,1
puru,1
raine,1
rakiura maru,2
rana,1
ranatunga,1
rangi maniapoto,2
rangihaeata,1
rangikura,1
rangitane,1
rangiuaia,1
rangiuru,1
rapaki runanga,2
rapaura,1
rarere,1
raupare,1
rawinia hauraki,2
rehau,1
reiha,1
remi,1
rere,1
retina,1
retiree,1
rewiti,1
riau,1
riki kauika,2
romana,1
rotokare,1
rua,1
ruari,1
ruatahuna,1
ruia mai,2
runa,1
ruwhiu,1
taiawhio,1
taihape waiouru ohakune raetihi,4
taikato,1
taimania,1
tainui taranaki,2
tairua,1
taitapu whakarewa motueka,3
taka,1
takahanga marae,2
takaki,1
takuta,1
tamati hakopa kapo,3
tamihana paurini,2
tamihere to take,3
tane puki,2
tane tuhakaraina,2
tanga,1
tangata,1
tani,1
taoho,1
taonui,1
taranaki tui,2
taranaki wanganui,2
tatou,1
tauariki,1
taunoa,1
taunoka,1
taupe,1
tauranga taupo,2
taurua,1
tautuku,1
tawharu,1
te akau,2
te ati awa,3
te awakura,2
te houka,2
te huarahi ki te oranga pai,6
te kairanga,2
te mana akonga,3
te moana kotuku,3
te ohu kaimoana,3
te puka,2
te puni,2
te riu roa,3
te ropu whakahaere,3
te ruki kawiti,3
te taurapa o te waka,5
te tii waitangi marae,4
te tomairangi marae,3
te wero,2
te whanau a apanui,4
te wheke,2
te whetu,2
te whiti,2
teepa,1
teki,1
tekira,1
ten-one,1
teratai,1
teri,1
teri puketapu,2
tiaina,1
tiakinui,1
tikana,1
tikao,1
timoti te heu heu,4
tini,1
tino,1
tiopira,1
titania,1
toheroa,1
tohetea,1
toi whakaari,2
toia,1
toitoi,1
tokoiti,1
toku,1
tomei,1
tomi maru,2
tongariro rangipo,2
tongariro-rangipo,1
toomata,1
torana,1
tou,1
tui moana,2
tuitupou,1
tuki nenee,2
tukoroirangi,1
tuku aho,2
tukuroirangi,1
tumunui,1
ture,1
tute,1
tutukaka,1
tuwairua,1
tuwhare,1
ueno,1
utai,1
uterine,1
ututaonga,1
wahi tapu,2
waiinu,1
waikato tairawhiti,2
waikiki,1
waikoau,1
waimarama marae,2
waimataitai,1
waimiha,1
waingongora,1
wainuiomata where he,3
waiopehu,1
waipahi,1
waipiata,1
wairama,1
wairangi koopu,2
wairarapa taranaki,2
wairea,1
waitaiki,1
waitoa,1
waitutu paiki,2
waiwhetu taita,2
waka huia,2
wakura,1
wane,1
water-take,1
weheka,1
weti katipa,2
whai oranga o te iwi,5
whanganui manawatu,2
whangapoua,1
whangateau,1
wharepapa,1
whareroa,1
wharetoa,1
whenua hou,2
whenuakite,1
whine,1
whoopee,1
winitana,1
wireera,1
wiremu haare,2
witika,1
wome,1
ahiaruhe,1
akauri,1
akiko maruno,2
anamaria watene,2
angiangi,1
apirana turupa ngata,3
arano kaitaia,2
arapatiki,1
aratoi wairarapa,2
arore,1
awataha marae,2
awhi tapu where,3
awhine,1
e ai ki,3
e kia ana te korero,5
e kii e kii,4
e ngaa uri whakatapu,4
haka poi,2
hake,1
hapu iwi,2
hari matariki,2
hauhake,1
hauiti,1
hawaiki to aotearoa,3
he aha ki te maramatanga o tera,7
he kanohi kitea ki te arawa nei i te motu tonu koia te tuara o tona papa o tona tuakana o tana hoa rangatira,24
he kimi i etahi i painga mo te iwi maori,10
he kura ki waikato waikato,5
he manu o aotearoa,4
he mea takahi tera i te mana o taua kahui engari he momo aki momo whakararu i nga whiriwhiringa o taua runanga i a ia e wananga i nga tika me nga he o taua take,36
he moumou taima te,4
he rawe nga whakaritenga ko nga korero i puta i te hui a ki taku mohio ka eke to tatou tiaki i te kaupapa ki te taumata e tika ana,30
he taura whakapapa,3
hekama,1
heke-huata,1
hemi whaanga,2
heperi,1
herewini te whanau a apanui,5
heroine mana wahine,3
hika ahi,2
hinaatore,1
hine hika,2
hinemanu ohia,2
hinerauaamoa,1
hirini tane to take,4
hoe matariki,2
hohepa te umuroa,3
hohepa tuahine tuuhoe te arawa,5
hokia ki nga maunga,4
hone pene,2
hou,1
huikakahu kawe,2
huirangi waikerepuru,2
huruhuruwhenua,1
hurunui o rangi marae,4
i a ia e noho hei kawana a i hangaia he ture hou,13
i hui tahi matou ko te pirimia inatatanei ki te whakatika i nga raru a kua tau,17
i noho nei ia i to matou taha,8
i rere tonu te patai mena he hoiho,8
i rotorua nei hei te huitanguru o te tau hou pakeha nei,12
i te ao maori,4
in-tune,1
iwi ngati kahungunu,3
ka kite ano,3
ka puta he kakano,4
ka rawe hoki,3
kaha mai tuwharetoa,3
kaha mai tuwharetoa maori,4
kahoa,1
kahu te kanawa,3
kahui rangatahi,2
kahungunutanga,1
kaikomako,1
kairipoata,1
kaiwhakahaere maori,2
kakahu,1
kaore i ko atu kaore i ko mai,8
kapa haka waka ama,4
kapowairua waitai,2
karamaina,1
karamu,1
karawhiua,1
karohirohi,1
kaumatua hohepa,2
kaupapa maori kaumatua mauriora kingi,5
kaupapa maori rotorua,3
kaupapa toi whenua,3
kei te whai tonu te paata maori i te hiahia kia whai mana tonu te,15
kei te whakanui,3
kerapa,1
keremea,1
ki a au ka timata nga whakataetae i te powhiri,10
ki a au kei te harikoa i te mea kua tae atu tenei take ki te taraipiunara o waitangi mana tonu e whiriwhiri mena he panga ano a tatou ki te wai kaore ranei,34
ki o rahi ki whanganui,5
ki-o-rahi akotanga iho to turangi,5
kia noho hei mema paremata,5
kiekie,1
kihi ririnui,2
kike,1
kimi katene,2
ko etahi o ratou kei te kii kaore he take o te paremata tonu engari kei te,17
ko harawira te tangata i pirangi ki te noho hei minita i te,13
ko reipa tonu te hunga kore whakarongo ki te taraipiunara i te,12
ko te amorangi ki mua ko te hapai o ki muri,11
ko te kii o te pirimia i a ia e mea ana ahakoa te whakatau o te tarapiunara ehara i te mea ka whai tonu atu te kawanatanga i ona korero,31
ko te take matua o te,6
ko te wai maori te take nui i korerotia i nga,11
koeke,1
koia pea tetahi kupu korero e whakamarama ana i te noho o timi i tenei ao,16
kora tuhoe,2
kori,1
kotahi hei,2
kua eke mai te,4
kua kii mai ratou e kore rawaa nahinara i whakarite i tetahi ture hou ki te karo i te panga o nga iwi maori ki te wai,27
kua noho pani tonu te ao maori a ia,9
kua tanuku te toka o ngati tuwharetoa ara a timi te heuheu teina o te ariki o te iwi koia tera kua whai atu i nga mate o te takere o te waka,33
kumara taewa,2
kumarani,1
maaka pepene,2
maaka pohatu ngai tamanuhiri ngati apa ngati tuwharetoa,8
mahi raranga,2
mahi toi,2
mahiraranga mahi toi,3
mairina,1
makaore,1
make a matariki,3
makoura,1
mana wahine where,3
mana whenua i,3
mana whenua iwi,3
manu aute,2
manu rere,2
manu rere tuwhara kia rahi,5
manu tuwhara-kiarahi kite,3
manutewhau moire,2
maori kaumatua,2
maori kaupapa,2
maori korowai,2
maori kura,2
maori mana,2
maraki,1
marama hetaraka,2
mata ariki,2
mata o te tau e roa e,7
mata riki,2
matanga maori haki tahana,4
mataraki,1
matarawa,1
matariki atua ka eke mai i te rangi e roa e whangai iho,13
matariki puanga,2
matariki tauranga,2
matariki te arawa,3
matariki te reo maori,4
matariki to maori,3
matariki wahine toi,3
matariki whanau,2
matariki whatarau,2
matariki whatarau ngati kahungunu ngati raukawa ngati whanaunga,8
matarikirotorua,1
matarikitauranga,1
matekino,1
matou,1
matuku moana,2
maungarongo marae,2
mauri moe mauri mate,4
mawharu,1
me tuku i nga poroporoaki ki nga tini mate o te,11
merania,1
merenia,1
merepeka,1
mie,1
mihiroa marae,2
mika haka,2
minita watene,2
miriama,1
mitimiti,1
moiera,1
mokihi,1
moku ake mo ngati rangiwewehi e hia,7
moremore,1
moteatea,1
moteo te kohanga reo,4
moturiki,1
natana te hauroa tawhara,4
natana te kura kaupapa maori o pukemiro,7
natanahira pona,2
nei nga kaupapa kua ara ake nga tangata kua aro nei ki nga momo kaupapa hei whakanui i te,19
nei nga mano taara kua whakapauhia ki te pakanga ara ko te wai te take,15
nga kahui pou,3
nga kakano,2
nga kura kaupapa o te puku,6
nga mata ariki,3
nga mihinui ki te tau hau ki a koutou,9
nga pae o te maramatanga,5
nga tamariki,2
nga taonga takaro maori,4
nga whaotapu o tamaki makaurau,5
ngaa whetuu,2
ngakura,1
ngakuru,1
ngapuhi ngati porau,3
ngatai huata,2
ngati apa,2
ngati apa nga wairiki,4
ngati kahungunu ngati porou ngati tuhoe,6
ngati kawa,2
ngati pakeha,2
ngati porau hauora,3
ngati porou hauora,3
ngati pukenga,2
ngati tuwharetoa,2
ngati tuwharetoa timi te heuheu,5
ngati wai ngati hine,4
ngati whakaue ngati rangiwewehi,4
nika,1
nomura,1
nonatatanei,1
o matariki a e hia,5
omahu marae,2
omaru,1
opaki,1
orangihina,1
oreo,1
orewa kingi matariki,3
orongonui,1
otamataha,1
paa harakeke,2
pae arahi,2
pahewa,1
pahu,1
pai marire,2
paimarie kohanga reo,3
pakaitore moutoa,2
pakeha mai maori mai tamariki mai koeke mai,8
papamoa where he,3
paparoa marae kapa haka,4
papataiao,1
paraire tomoana,2
parikoikoi,1
penewiripo,1
penewiripo kaitaia,2
pere wihongi,2
peruperu,1
piata,1
piko piko,2
pingao,1
pirihira taupe,2
piupiu,1
pohutu,1
pona,1
potiki,1
pourangiwera,1
pouroto ngaropo a matariki,4
poututerangi marae,2
puaka,1
puaka matariki,2
puanga karakia,2
puanga maori,2
puanga maunga karakia,3
puawai neho-popata,2
pumipi,1
purapura,1
purapurawhetu te pou,3
purerua,1
putara,1
putiki wharanui marae,3
putiki wharenui,2
raharuhi aimee whata,3
raharuhi ngati whakaue ngati pikiao,5
rahera,1
rahia,1
raiha tahuri,2
rakau mahi aringa,3
rakaunui,1
raku,1
rangatahi arataki,2
rangatahi to take,3
rangitane ngati kauwhata ngati raukawa,5
rangitane o wairarapa,3
rapanui,1
raruraru,1
raua ko hurieta,3
rawiri paratene tama waipara,4
reira haere koutou whakangaro atu,5
reira kia kaha kia maia kia u ki te reo maori,11
reira te arawa kia matara,5
reneti tapa,2
ritihia,1
rongo mamau,2
roria,1
rotorua harata,2
rotorua kinaki,2
rotorua te puia,3
ruamoko rangatahi,2
ruia,1
ruiha,1
taharepa,1
tahuri,1
taiaha tipare,2
taiamai,1
taikaha,1
tainui tukiwaho,2
taio,1
takakau,1
takakau maori,2
takapau whanau kapahaka,3
takawai,1
tane whakaara,2
tanemahuta,1
taonga puroro,2
taranaki ki te tonga,4
taratahi,1
tarei,1
taria te,2
tata kua hipa,3
tatou katoa matariki,3
tatu,1
tau hou maori matariki,4
taumatakupu,1
tauranga moana matariki,3
taurapa waka,2
tauru,1
taurua marae,2
tawera a maori,3
te ahukaramu,2
te aitanga-a-hauiti,2
te ao,2
te ao hou,3
te ao marama te kohanga reo kaiako,7
te ara o matariki,4
te ara wairua,3
te arawa i rotorua,4
te arawa kapa haka,4
te arawa kaumatua anaru rangiheuea,5
te arawa koeke,3
te arawa matariki,3
te arawa ngati porou,4
te arepa kahi,3
te atatu marae,3
te awa tupua,3
te awanuiarangi,2
te awarua where,3
te heikoko katerina mataira,4
te hiku,2
te hira,2
te hokioi,2
te hokowhitu,2
te hui o te arawa ki te whakarite i a tatou ano mo te matatini whakataetae kapahaka o te motu ka,21
te ika-a-maui,2
te kahu o matariki,4
te kaihou,2
te kaihou ngarotata,3
te kakano o te reo,5
te kare tina,3
te kopuru,2
te kowhai,2
te kura kaupapa maori o pukemiro kapowairua waitai,8
te kura kaupapa maori o ruamata te kura kokiri,9
te kura kaupapa maori o te rangi aniwaniwa,8
te kura kaupapa maori o te rangi aniwaniwa te rina,10
te kura kaupapa maori o wairarapa opaki,7
te kura kaupapa maori o whakarewa i te reo ki tuwharetoa,11
te kura kaupapa o otepou,5
te kura-a-iwi ngati whatua o orakei,6
te mahurehure,2
te manawanui tawhara,3
te matua ngahere kauri,4
te nahi,2
te nota,2
te puna rangiriri,3
te raa,2
te reipa me te ropu harawira me puta te paati maori,11
te reo irirangi o ngati kahungunu,6
te roopu manaaki,3
te ropu raranga whatu o aotearoa,6
te ropu tahiwi a te whanganui-a-tara,6
te tai o pipiri,4
te tai rawhiti i turanga he aha,7
te tai tonga kaitiaki wahine,5
te takapu o rotowhio,4
te tau hou maori,4
te toki haruru,3
te tuhi,2
te waihirere,2
te waka toi,3
te wananga whare tapere o takitimu,6
te whanau a kohine ponika,5
te whare tawhiao,3
te whenua,2
te whetu arataki maori,4
te whetu o te rangi marae,6
te wiwi nati,3
teia,1
tekoteko noa iho,3
tematakaheru,1
tena ano tatou,3
tera pea ko te,4
terakihi,1
tetua,1
ti-uru,1
timi,1
timu kirikiri,2
tina-rae,1
tiramarama,1
tirohia atu nei ka wheturangitia matariki te whetu o te tau,11
tito kura,2
tito ngati tuwharetoa ngapuhi,4
tohora,1
tohunga taonga,2
toi,1
topatari,1
torere,1
tuheitia,1
tuheitia paki,2
tuhoe whakapapa,2
tui teka,2
tunohopu,1
turangawaewae marae,2
turi,1
tutira,1
tutira mai nga iwi,4
tuwerewere,1
tuwhara-kia rahi,2
tuwharetoa haka wairangi,3
uawa,1
uawa where he,3
ururangi,1
uruwhenua,1
waiariki maori,2
waiata poi,2
waiata pokarekare ana,3
waiata-a-ringa,1
waikato tainui,2
waikato te whare waananga o waikato,6
waikato waikato,2
waimaru,1
waimirirangi,1
waipouri,1
wairarapa ki-o-rahi,2
wairarapa maori,2
wairarapa matariki,2
wairarapa whaiora whanui,3
waitai neho-popata,2
waitata,1
waiti waita waipuna-a-rangi tupu-a-nuku tupu-a-rangi,5
waka hone mihaka,3
waka hourua ngahiraka-mai-tawhiti,3
waka tapu,2
waka te awanui,3
wanganui awhina,2
warewhare,1
whaka,1
whakanui mo te motu i raro i te ture,9
whakanuia nga koeke o te arawa matariki,7
whanaungatanga manaakitanga arohatanga,3
whangaehu marae,2
whangai,1
whanganui te kahui tupua te manawa,6
whanganui to take,3
whangaroa,1
whare tupuna,2
whenuakura urupa,2
where to make,3
whiro,1
whiti hereaka,2
wikitoria maori,2
wiremu potiki,2
aatarangi,1
akina,1
ako whakatere,2
akonga,1
anaru pewhairangi,2
aneta,1
ani puroa hinehau tomoana nee kopu,6
aongatete,1
aotearoa te reo maori,4
apa apa,2
aperahama te rahiri karamea,4
arapeta tahana,2
ari wiremu niko,3
aroha karaitiana,2
aroha pirihi,2
ateneta paewai,2
atutahi,1
aue,1
e pari o auahatanga,4
erina,1
haami piripi,2
haapu,1
haeata,1
haka hangi,2
haka ka mate ka mate,5
hakeka,1
hana te hemara,3
hangi kapa haka karakia,4
haraheke,1
hautipua rererangi,2
he kainga mo te reo,5
he kupenga hao i te reo,6
heeni morehu,2
hemana,1
hemana waaka,2
henare a ngati hine,4
hepa tatere,2
here te reo,3
heurea,1
hikitia,1
hineaumoana,1
hinehou apiata,2
hinepukohurangi,1
hinerongonui,1
hinerongonui kingi,2
hinetekohurangi kohu,2
hiria,1
hoe a te waka,4
hoo,1
hopukia,1
horakaka,1
horohoro,1
horouta,1
hou mai,2
huia te reo,3
hurupaki,1
ikaroa rawhiti,2
in-home,1
iraia,1
iwi hapu whanau,3
iwi hapu whanau maori,4
iwi rangitane,2
iwi tauranga,2
iwi te arawa,3
ka pai aroha kia ora hui tangi waka mokopuna tamariki i,11
kaa,1
kai iwi ototoka,3
kai ora ngatiwhai,3
kaiako mereana o,3
kaiarahi reo,2
kaimahi,1
kaimatira,1
kaipoo marae,2
kaire kamo,2
kaire ngararatunua whangarei te reo,5
kaiwhaiki,1
kamaua ngaiterangi iwi runanga,4
kapa haka marae,3
kapa haka to waka ama,5
kapai to mahi,3
karanga o te tau hou,5
kaumatua matiu eru,3
kaunihera a rohe,3
kauri wahine,2
kawakawa maori,2
kepa ehau,2
kereama taepa,2
kia ora kiwi,3
kia ora rotorua,3
kia ora te reo,4
kia ora to te reo,5
kii tahi,2
kimi ora where,3
kingi ihaka,2
kino,1
kiwa,1
koauau maori,2
kohanga reo kura kaupapa,4
kohanga reo kura kaupapa maori,5
kohanga reo kura kaupapa maori wharekura,6
kohanga reo maori,3
kohupatiki,1
komiti,1
komiti nui,2
korero aotearoa,2
korero awhi,2
koreromaori,1
koretake,1
koro hamuera,2
koro kira,2
koro kira wharekawa,3
korowai wananga,2
koutu kura,2
koutu marae i,3
kura a iwi,3
kura kaupapa maori kohanga,4
kura where te reo maori,5
ma-tereo,1
maa ree,2
mahana te mauri ora,4
maia ariana anahera anika aroha kora tia kaia ana ria tiare mereana nia tui wikitoria hinewai mahi terina mareikura,19
maika nuku,2
maketu to tongariro,3
mana tamariki,2
manaakitanga aotearoa,2
manaakitanga rotorua,2
mangakahia,1
manu korero,2
manu toeke,2
maori a waitangi kuia,4
maori iwi,2
maori kapa haka,3
maori korero,2
maori tahi rua toru wha rima ono whitu waru iwa tekau,11
maori waiata,2
maori-pakeha,1
marae tangoio,2
marae whare,2
mareikura,1
mata hari,2
mataia keepa,2
matangireia,1
matapihi,1
matariki te ohu whakaita,4
matariki waikato,2
matarikiwaikato,1
mataroria,1
matewai timu,2
matiu eru,2
matua mataroria,2
mau raakau,2
maunga,1
me a pene rakau,4
me kapa haka,3
me te reo maori,4
mererina,1
miao ree,2
mihaka whanau,2
mihimihi aka mihi,3
mirimiri,1
moana tauranga,2
moerangi,1
mokopuna irenee,2
mokopuna ki tarewa,3
monet-mei,1
morehu,1
nanae,1
nga ingoa maori,3
nga kaiwhakapumau i te reo maori,6
nga manu korero,3
nga mihi nui,3
nga puna o waiorea,4
nga rauru,2
nga rauru kaiwhakahaere,3
nga rauru kitahi rohe,4
nga rauru rangitahi,3
ngaa rauuira pumanawawhiti,3
ngahihi o te,3
ngahiwa,1
ngahuia kawau,2
ngai tahu rohe,3
ngai te rangi iwi,4
ngai tuhoe,2
ngaiterangi iwi runanga,3
ngamatapouri,1
ngati,1
ngati awa,2
ngati hine ngati hau,4
ngati hurungaterangi where,3
ngati kahungunu maori,3
ngati kahungunu ngati rongowhakaata,4
ngati kahungunu reo,3
ngati kahungunu tamaki nui a rua,6
ngati kahungunu te reo,4
ngati rangitihi,2
ngati rongomai here,3
ngati rongomai tikanga,3
ngati tahu whaoa,3
ngati whakaue iwi,3
ngati whakaue kaumatua pihopa kingi,5
ngati whakaue to make,4
ngatoroirangi,1
nihera huata,2
nihongo,1
nikau ari wiremu niko,4
nikau ari wiremu niko tamati hemi nikora te ariki rawiri tane mikaere manaia kahu tangaroa kauri ariki manaaki tama ihaia matiu,21
nikau kauri,2
noho,1
noho marae,2
o te reo maori,4
o-tear-a-row-wa wharehuia tangimoana pataera,4
okehu,1
okiato,1
omahu,1
onerahi,1
opauahi,1
otaika,1
owairaka rawhitiroa marae,3
paekupu,1
paetakawaenga,1
papaiouru,1
parawera marae,2
parekoora,1
patarihia,1
patiki,1
pepe,1
pepeha mihi,2
pepi,1
peti-paerau,1
piatarihi pikiao te whetu o te,6
pihopa,1
pihopa kingi,2
pikia ngati hikairo ngati maniapoto,5
pikihuia,1
pirihira,1
pirikahu,1
piripiri,1
pita tipene,2
pohe,1
poi e one,3
poi rakau,2
poi te wiki o te reo maori,7
porowini,1
potae tainui ngapuhi,3
pouako,1
pouarahi reo here,3
pukehamoamoa,1
pukeroa oruawhata,2
pumau,1
ra-row-a,1
rangiheuea,1
rangitahi,1
rangitane o tamaki nui a rua,6
rarawa,1
raupunga,1
rawene,1
rawiri waititi,2
reweti hui kakahu te mete,5
reweti te mete,3
rika ria,2
rohe-kararuria,1
rongomaitawhiti rongomai,2
roro,1
rorohiko,1
rotorua matariki,2
ruamata,1
ruamata marae,2
ruana te whenua,3
ruha rika,2
ruha te whanau-a-apanui ngati porou te arawa,7
runanga o te rarawa,4
taamea,1
tahakopa,1
tahe,1
taihoa kohanga reo,3
tairawhiti iwi,2
tairawhiti kaumatua taina ngarimu,4
takirau marae tapuarau,3
tamaho,1
tangatarua marae,2
tangohau,1
tania te whenua,3
tanirau,1
tapuaekura marae,2
tarewa pounamu te kohanga reo,5
taringa,1
taruke pihopa,2
tatai korero,2
tatere,1
taukumekume,1
taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuatahu,1
taupo-nui-a-tia,1
taura whiri,2
tauranga iwi,2
tauranga kura kaupapa,3
tauranga to take,3
te ahipourewa,2
te aho aho,3
te ahu kowhai te rangikaheke kauri rakau epiha anahera,9
te ara hou,3
te ara reo,3
te arahi maipi,3
te arawa e,3
te arawa kaumatua,3
te arawa kaumatua pihopa kingi,5
te arawa kuia,3
te arawa pouako i te reo,6
te arawa waka,3
te aroha marae,3
te atarangi whiu,3
te henga,2
te hira paenga,3
te hokinga mai o te auahituroa,6
te ika,2
te iria,2
te kaea,2
te kani kingi,3
te kohe tuhaka kingi te wake ngati porou ngai tuhoe,10
te komiti nui o ngati whakaue,6
te kupenga hauora ahuriri,4
te kupu o te wiki maori,6
te kura,2
te kura kaupapa maori o hurungaterangi,6
te kura kaupapa maori o mana tamariki,7
te kura kaupapa maori o nga mokopuna,7
te kura kaupapa maori o ngati kahungunu o te wairoa,10
te kura kaupapa maori o ruamata,6
te kura kaupapa maori o tamaki nui-a-rua,7
te kura kaupapa maori o te ara hou,8
te kura kaupapa maori o te rawhitiora,7
te kura kaupapa maori o te rawhitiroa,7
te kura kaupapa maori o te rotoiti,7
te kura kaupapa maori o te wananga whare tapere o takitimu,11
te kura kaupapa maori o tupoho,6
te kura kaupapa o maori o otepou,7
te kura o te whakarewarewa,5
te maipi,2
te mana o te wai,5
te mangai paho hopukia,4
te mangai pahu,3
te maori e mauri,4
te mata o rongokako,4
te papaiouru marae,3
te parapara,2
te pire,2
te poari matua o raukawa raukawa,6
te puia mitai maori,4
te puia taparoto,3
te puke tapuika,3
te puna o te ao marama,6
te puna o te matauranga marae,6
te puna waiora,3
te puni kokiri te arawa,5
te puni kokiri te mangai paho,6
te putea matua,3
te rangikapiki,2
te rangimarie,2
te rarawa haami piripi,4
te rarawa iwi,3
te reo hikoi paekakariki,4
te reo i,3
te reo i te kainga maori,6
te reo irirangi o te arawa,6
te reo kete,3
te reo maori a taonga,5
te reo maori he,4
te reo maori here,4
te reo maori ki nga matua,6
te reo maori one,4
te reo maori ranui kaumatua hori,6
te reo maori waiata,4
te reo mauriora,3
te reo owhata,3
te reo pakeha,3
te reo te reo maori,5
te reo tika,3
te reo tikanga,3
te reo to make,4
te reo u,3
te reo waikato,3
te rina,2
te ropu matakite,3
te ropu raranga ki rotorua,5
te runanga o kirikiriroa,4
te runanganui o kura kaupapa maori,6
te tai hauauru where howie tamati,6
te tai tokerau te reo,5
te tairawhiti,2
te taiurungi,2
te tama o,3
te tari puna,3
te tari puna o aoeteroa,5
te taua moana o aotearoa,5
te tauarangi o aotearoa,4
te taumata o ngati whakaue,5
te taura whiri i te reo maori pita paraone,9
te tiriti,2
te ture mo te reo maori,6
te uranga waka,3
te wai koiora,3
te waipounamu,2
te waka takaro,3
te wananga o aotearoa te arawa,6
te wananga o aotearoa where,5
te wananga o te aotearoa,5
te wananga whakairo rakau,4
te whanau apanui,3
te whare wananga o waikato,5
te wiki o te reo maori a kaupapa,8
te wiki o te reo maori a rotorua,8
te wiki o te reo maori hikoi,7
te wiki o te reo maori rotorua,7
te-horata te-rungarawa pikikotukuraeroa tamaikoha matiu tama toko awhina moera horomona hine tamaiti,12
tee-ree-na,1
teena,1
tekupu,1
tena koe,2
tepo,1
tika,1
tiriti o waitangi,3
tiwana,1
toe-ronga,1
toihoukura tairawhiti,2
toku reo,2
tomokia,1
tonihuata,1
towai,1
tuhourangi kaumatua anaru rangiheuea,4
tukaokao,1
tukiterangi,1
tukoherangi te rangiwheriko rangiahua pirinoa,5
tukurau aotearoa,2
tumanako titihuia,2
tumanako titihuia tanirau,3
tuputupu,1
turahui winiata,2
turanga merito,2
turanga o moana,3
un-maori,1
waatea,1
waiata korero,2
waiata pepeha,2
waiata tautoko,2
waikato matamata-piako,2
waikato ngati hikairo ki kawhia ngati maniapoto,7
waikato te wananga o aotearoa aotearoa,6
waikato-hauraki,1
waikato-rotorua taupo,2
waimarie,1
waipatu marae,2
wairere,1
wairoa otoi,2
waitakare,1
waka te arawa,3
watea,1
wero,1
whai,1
whakaaro,1
whakama,1
whakamarama,1
whakangahau te ataarangi kohanga reo kura wharekura wananga reo irirangi maori reo irirangi a-iwi whakaata maori,16
whakanuia,1
whakapapa to ngapuna,3
whakapapa tupuna whanau hapu,4
whakapapa whanau waiata,3
whakarewarewa whare,2
whakatipuranga rua mano ruatoki kura te ahurei o ngai tuhoe,10
whakatu,1
whanau hapu,2
whanau hapu marae,3
whanau iwi,2
whanau maori,2
whanau powhiri koha,3
whangaihia reo kia tipu te reo,6
whangaihia te reo ki nga matua,6
whanganui kapa haka,3
whanganui whanau,2
whanganui where he,3
whangarei maori,2
wharehuia,1
wharekai,1
wharekura,1
whareora,1
whenuakura,1
where te reo maori,4
whiti,1
winikerei taua,2
wirepa,1
wirihana apatu,2
wowo,1
aami,1
aati,1
ahaa,1
ahaa ha ha ha haa,5
ahau,1
ahee,1
ahio,1
aho,1
ai weiwei,2
aii,1
aiko,1
aime,1
aimee metuatini,2
ainaro where he,3
aiono,1
airini,1
aironi,1
aitana,1
aiwa,1
akatarawa akatarawa,2
akatere,1
akekeia,1
akio,1
akira,1
akitio,1
akitio wairarapa,2
akona,1
akuhata,1
ama nata,2
amani,1
amiria,1
amo,1
amohanga,1
amora,1
anakiwa,1
anama,1
anania,1
anau,1
anemone,1
angora,1
ani parata,2
anika moa tiki,3
anina,1
anini hira,2
anituatua,1
anu,1
aoraki to make,3
aoreatoa,1
aotea porirua,2
aotearoa maori,2
aparima runaka,2
aparime,1
aputa,1
arahunga,1
arai whakaari hema,3
arakura,1
aramoana a maori,3
arapata,1
arapata hakiwai,2
arapawa,1
ararua,1
aratiki,1
aratu,1
areta,1
areta koopu,2
ariake,1
ariana mahia,2
ariana tikao,2
ariana tikau,2
arikinui,1
aripu,1
aroha-ngia-tatou,1
arohamai,1
ata putaranui,2
atami,1
atapi,1
atarau,1
atareta poananga,2
atawhai,1
atihana,1
atiu,1
