rank,word,freq,normalised_per_10000_words
316,mamae,310,3
317,marie,309,3
317,ngaa,309,3
319,makaurau,307,3
319,mara,307,3
321,hine,306,3
321,momo,306,3
321,ngaro,306,3
324,tātau,304,3
325,kirihimete,302,3
325,tahu,302,3
327,mātauranga,299,3
328,hōtaka,297,3
328,tauranga,297,3
330,toru,296,3
331,ika,293,3
332,harikoa,292,3
332,tatau,292,3
334,#māori,291,3
334,tapu,291,3
336,#1mirionatweets,289,3
336,katahi,289,3
336,māmā,289,3
336,tīmata,289,3
340,inaianei,288,3
340,whawhai,288,3
342,timata,287,3
343,miharo,285,3
343,wāhine,285,3
343,āna,285,3
346,pono,284,3
347,rōpū,282,3
348,māku,281,3
348,ōu,281,3
350,arawa,280,3
351,ngakau,279,3
351,tinana,279,3
353,mīharo,278,3
353,ngāi,278,3
353,tāne,278,3
356,rangatahi,277,3
357,in,275,3
357,karawhiua,275,3
359,tona,273,3
360,ipurangi,272,3
360,pou,272,3
360,tuhi,272,3
363,whiwhi,271,3
364,haerenga,270,3
364,hanga,270,3
366,1,269,3
366,hinga,269,3
366,oti,269,3
366,pouri,269,3
370,pāpā,268,3
371,#cenz15,266,3
371,waikato,266,3
373,rohe,264,3
374,ahiahi,263,3
374,utu,263,3
376,mehemea,261,3
377,manaaki,260,3
377,tuahine,260,3
379,karakia,257,3
380,huia,255,3
380,koro,255,3
380,roopu,255,3
383,tawhiti,253,3
384,is,251,2
385,at,249,2
385,whakarite,249,2
387,marika,248,2
388,koa,247,2
389,korua,246,2
389,whakaata,246,2
391,huarahi,245,2
391,tere,245,2
391,tua,245,2
391,wareware,245,2
395,ng,240,2
396,kuia,238,2
396,mātakitaki,238,2
398,whānui,237,2
399,#tweetaz,236,2
399,on,236,2
399,rerenga,236,2
402,arā,234,2
402,manawanui,234,2
402,rima,234,2
405,ahua,233,2
405,tiaki,233,2
407,mahia,232,2
407,maumahara,232,2
407,puna,232,2
407,whakamutunga,232,2
411,kanohi,231,2
411,mahana,231,2
411,mātau,231,2
414,hoko,230,2
414,kāea,230,2
416,kahurangi,229,2
417,#tewikiotereomaori,228,2
418,an,227,2
418,inu,227,2
418,tupuna,227,2
418,you,227,2
422,manaakitanga,226,2
423,rangahau,225,2
424,koinei,224,2
425,āwhina,223,2
426,hangarau,222,2
427,wananga,221,2
427,ōna,221,2
429,m,220,2
430,#tematatini,218,2
430,mārama,218,2
430,tē,218,2
433,taumata,217,2
434,wero,216,2
435,haramai,215,2
435,panui,215,2
435,pōuri,215,2
438,pa,214,2
439,anake,212,2
439,hono,212,2
439,kau,212,2
439,kawhe,212,2
439,tihau,212,2
439,turanga,212,2
439,waitangi,212,2
439,āu,212,2
447,kurī,209,2
447,matau,209,2
447,p,209,2
450,tūmanako,208,2
451,aua,207,2
451,pounamu,207,2
453,kaimahi,206,2
453,pango,206,2
455,ngai,205,2
456,mahara,204,2
456,tainui,204,2
456,whakanuia,204,2
459,kēmu,203,2
459,pikitia,203,2
459,porou,203,2
459,uaua,203,2
463,moenga,202,2
464,ne,201,2
464,pēnei,201,2
464,waho,201,2
467,here,200,2
468,hinengaro,199,2
468,maia,199,2
468,my,199,2
468,rangitaki,199,2
468,whakatau,199,2
473,riro,198,2
474,tane,197,2
475,maua,196,2
476,k,195,2
476,twitter,195,2
478,irirangi,194,2
478,ou,194,2
478,paki,194,2
481,makariri,193,2
481,tini,193,2
483,awesome,192,2
483,krero,192,2
483,kō,192,2
483,tamaki,192,2
487,whakahirahira,191,2
488,hapori,190,2
488,hauora,190,2
488,āku,190,2
488,ū,190,2
492,hononga,189,2
492,this,189,2
492,tono,189,2
492,tumanako,189,2
496,etahi,187,2
497,karaka,186,2
497,tūranga,186,2
497,waea,186,2
500,nunui,185,2
500,ture,185,2
500,waimarie,185,2
500,whakatā,185,2
504,meri,184,2
505,mēnā,183,2
505,raua,183,2
505,uru,183,2
508,kāre,181,2
508,puku,181,2
508,rotorua,181,2
508,āhuatanga,181,2
512,ahi,178,2
512,taniwha,178,2
512,wharekura,178,2
515,aro,177,2
516,tipu,176,2
517,enei,175,2
517,kara,175,2
517,oma,175,2
517,tūpuna,175,2
517,ōtautahi,175,2
522,rt,174,2
523,taranaki,173,2
523,whakautu,173,2
525,too,172,2
525,whakamahi,172,2
527,hia,170,2
527,pakanga,170,2
527,tamaiti,170,2
530,motuhake,169,2
530,riri,169,2
532,day,168,2
533,bro,167,2
533,ngenge,167,2
533,taringa,167,2
536,hikoi,166,2
536,nuinga,166,2
538,tūtaki,165,2
539,painga,164,2
539,raa,164,2
539,tiriti,164,2
542,kao,163,2
542,whakaae,163,2
544,mōu,162,2
544,whakapapa,162,2
546,mata,161,2
546,oh,161,2
546,tāna,161,2
549,#edchatnz,160,2
549,oku,160,2
549,teina,160,2
552,#aotearoa,159,2
552,mātanga,159,2
552,poto,159,2
555,ariki,158,2
555,new,158,2
555,tuhinga,158,2
558,hapū,157,2
558,pēpi,157,2
560,akoranga,156,2
560,kahungunu,156,2
560,pū,156,2
560,takoto,156,2
564,hōu,155,2
564,ihu,155,2
564,kii,155,2
567,#rvbw,154,2
567,pau,154,2
567,wāhanga,154,2
570,kawe,153,2
570,pakeke,153,2
572,kīwaha,152,2
572,oho,152,2
572,whakahua,152,2
572,whanganui,152,2
572,xxx,152,2
577,meneti,151,1
577,tirohanga,151,1
577,āta,151,1
580,it,150,1
580,kāwanatanga,150,1
580,mahuru,150,1
580,tukua,150,1
580,with,150,1
585,homai,149,1
585,hīkoi,149,1
585,inā,149,1
585,u,149,1
589,#ulearn15,148,1
589,hokinga,148,1
589,mātaki,148,1
589,one,148,1
589,tonga,148,1
594,mātua,147,1
594,patai,147,1
594,whakapono,147,1
597,roimata,146,1
597,taka,146,1
599,#1mirionatīhau,145,1
599,ina,145,1
599,kata,145,1
599,mano,145,1
599,moko,145,1
599,māu,145,1
599,rākau,145,1
599,waiho,145,1
607,kimi,144,1
607,pērā,144,1
607,pōneke,144,1
